"Begin Time - msec","End Time - msec","boom_sequence","intervals"
290366,294179,"4",
290371,290998,,"1_boom"
291035,291251,,"1_bark"
291855,292415,,"2_boom"
292449,292862,,"2_bark"
293090,293686,,"3_boom"
293694,294174,,"3_bark"
406296,408542,"5",
406302,406763,,"1_boom"
406835,407035,,"1_bark"
407606,408089,,"2_boom"
408148,408537,,"2_bark"
411523,416845,"6",
411530,411904,,"1_boom"
411972,412196,,"1_bark"
412268,412718,,"2_boom"
412762,412994,,"2_bark"
413099,413545,,"3_boom"
413565,413938,,"3_bark"
414730,415175,,"4_boom"
415183,415583,,"4_bark"
415853,416309,,"5_boom"
416322,416788,,"5_bark"
435582,439530,"8",
435606,436113,,"1_boom"
436173,436426,,"1_bark"
436434,436858,,"2_boom"
436947,437211,,"2_bark"
437545,437979,,"3_boom"
438034,438306,,"3_bark"
438346,438677,,"4_boom"
438742,438971,,"4_bark"
439011,439259,,"5_boom"
439303,439543,,"5_bark"

