"videoname","cor_radius","cor_radius_smoothed_kol","cor_x","cor_y","example_nr"
"1","June09_01_exp1",-0.047209803368529,-0.0200183381379988,0.0714614547447182,0.00242701041766389,"exp1"
"2","June09_01_exp2",0.02768399552769,-0.0409195592296703,0.222932535540665,-0.030932387110281,"exp2"
"3","June09_01_exp3",0.0891096539370219,0.103659918810094,0.287754439652745,-0.14737601392979,"exp3"
"4","June09_01_exp4",0.228435035832191,0.398216992279081,0.391738969742856,-0.149963027937353,"exp4"
"5","June09_01_exp5",0.0975796134281979,0.216202198255076,0.212231625330328,-0.130805296239752,"exp5"
"6","June09_02_exp1",0.238440545117866,0.413596466773249,0.160364150121299,0.232448743031811,"exp1"
"7","June09_02_exp2",0.0716959158238129,0.134764191317631,0.233380683513997,0.241842476102345,"exp2"
"8","June09_02_exp3",-0.379612153788423,-0.537181823784349,0.282071077173754,-0.345456620941713,"exp3"
"9","June09_02_exp4",0.0300138779080716,-0.0346454900881706,0.10272649667703,-0.369040330720494,"exp4"
"10","June09_02_exp5",-0.122110737937909,-0.201096599856876,0.103268125916772,0.0578910326011777,"exp5"
"11","June09_03_exp1",0.079961010827436,0.196927104835995,0.413175832497456,0.282555411938458,"exp1"
"12","June09_03_exp2",-0.00431224509499138,0.485118797180693,0.396281700522967,0.387076707464167,"exp2"
"13","June09_03_exp3",0.269829384148669,0.625401128057786,0.736518936153956,0.392696013651195,"exp3"
"14","June09_03_exp4",0.405098692725698,0.396064426558327,0.58661605745741,0.481829695911344,"exp4"
"15","June09_03_exp5",-0.00480434818966448,0.189239285431004,0.559670839077521,0.335615703113475,"exp5"
"16","June12_01_exp1",-0.128717110321891,0.421866342745381,0.123708210626792,0.233398792420255,"exp1"
"17","June12_01_exp2",-0.265004342772542,-0.452221032697116,-0.0861350769477371,0.289781490131994,"exp2"
"18","June12_01_exp3",-0.255259390219798,-0.439670882829375,-0.0413521002137683,0.292443386454563,"exp3"
"19","June12_01_exp4",-0.179026473418872,-0.312089175132791,0.300951160062094,0.488625524380113,"exp4"
"20","June12_01_exp5",-0.265190518738201,-0.263008882199651,0.192572624122038,0.088732325997894,"exp5"
"21","June12_02_exp1",-0.394677573141817,-0.489501094628157,-0.0436867462683062,0.310174491089447,"exp1"
"22","June12_02_exp2",-0.298833537865768,-0.461052047443402,-0.0340207760203398,0.341061748137824,"exp2"
"23","June12_02_exp3",0.208548343982317,0.202658757698488,-0.00183275842503776,0.443013647598584,"exp3"
"24","June12_02_exp4",0.0742631930735929,0.0584778888304926,-0.00454660049512151,0.428178324477506,"exp4"
"25","June12_02_exp5",-0.27715847060143,-0.440813975785751,-0.0577846641518351,0.33866750847529,"exp5"
"26","June12_03_exp1",0.0276542026305986,0.095052369486974,0.107731429893223,0.145514791065754,"exp1"
"27","June12_03_exp2",0.0836322018940757,0.0443791968145487,0.0651300734613246,0.204625547658259,"exp2"
"28","June12_03_exp3",0.145758714205226,0.304979282310445,0.0778602680049284,0.33811671854765,"exp3"
"29","June12_03_exp4",0.122906160580485,0.201960708124085,0.100944923124321,0.194512439680677,"exp4"
"30","June12_03_exp5",0.0706734493593071,0.0164122665426676,0.110045391728078,0.295316890667413,"exp5"
"31","June16_02_exp1",0.0273602263910894,0.012545821361537,0.284397973435278,0.375080957199042,"exp1"
"32","June16_02_exp2",0.0302979347808221,-0.0279254886682738,0.414923984091621,0.366805154128994,"exp2"
"33","June16_02_exp3",0.486150142878685,0.58648532435596,0.549184313728004,0.358898517663687,"exp3"
"34","June16_02_exp4",0.329495336605898,0.53401714884782,0.513328064037544,0.412556473662849,"exp4"
"35","June16_02_exp5",0.0534706662106332,0.116250751375242,0.476622200850462,0.432118447741854,"exp5"
"36","June16_07_exp1",-0.142495596379685,-0.0556461363011235,-0.057349125294934,-0.0196058791077452,"exp1"
"37","June16_07_exp2",-0.00348723224659421,-0.144219401029693,0.0905686737717154,0.245224949671544,"exp2"
"38","June16_07_exp3",-0.00595042222748635,-0.135232906913745,0.0560022832892234,0.0769207263581398,"exp3"
"39","June16_07_exp4",0.117818545543216,0.0672412585749728,-0.033967628810077,0.176796927756102,"exp4"
"40","June16_07_exp5",-0.10205448743693,-0.13015262375125,0.0235596895675306,-0.00697121919381446,"exp5"
"41","June16_20_exp1",0.454272566771437,0.826994078728768,0.240016674535999,0.343029303824446,"exp1"
"42","June16_20_exp2",0.488300296572581,0.778909259002265,0.369772325978962,0.53830638468196,"exp2"
"43","June16_20_exp3",0.445966137638843,0.617955378736187,0.483347973636256,0.467508227361232,"exp3"
"44","June16_20_exp4",0.569109757174493,0.796767429958263,0.468955457169162,0.463544699009937,"exp4"
"45","June16_20_exp5",0.462076735177262,0.689747667115044,0.468708039767609,0.462743802284242,"exp5"
