"Begin Time - msec","End Time - msec","inflation","scene","individual"
168447,168900,"","1","Roger"
323532,324113,"","8","fajar"
325033,326037,"","8","fajar"
326591,327142,"","8","fajar"
348358,349259,"","10","fajar"
381292,381882,"","10","fajar"
382690,383310,"","10","fajar"
383632,384068,"","10","fajar"
384430,385011,"","10","fajar"
385400,386945,,"10",
385400,386946,"",,"fajar"
402257,402730,"","10","fajar"
403198,403544,"","10","fajar"
403798,404356,"","10","fajar"
405361,405777,"","10","fajar"
414395,415483,"","10","fajar"
418660,419187,"","10","fajar"
419479,419885,"","10","fajar"
420158,420823,"","10","fajar"
460861,461457,"","11","roger"
461897,462622,"","11","roger"
462744,463489,"","11","roger"
463620,464103,"","11","roger"
464223,464563,"","11","roger"
490527,490997,"","12","fajar"
492016,492405,"","12","fajar"
493193,493467,"","12","fajar"
493963,494477,"","12","fajar"
564763,565723,"","14","roger"
565734,566214,"","14","roger"
566780,567214,"","14","roger"
741550,742370,"","17",
754888,755661,"","17","fajar"
756314,756937,"","17","fajar"
774230,774773,"","17","fajar"
787690,788198,"","17","fajar"
788780,789242,"","17","fajar"
789347,789980,"","17","fajar"
804214,804850,"","17","fajar"
805625,806264,"","17","fajar"
806777,807171,"","17","fajar"
839445,840013,"","18","fajar"
840946,841650,"","18","fajar"
841965,842593,"","18","fajar"
842600,843403,"","18","fajar"
843730,844160,"","18","fajar"
881769,882527,"","19","fajar"
883710,884408,"","20","fajar"
884898,885248,"","20","fajar"
885459,886087,"","20","fajar"
902437,903070,"","21","fajar"
912991,913617,"","21","fajar"
914816,915495,"","21","fajar"
919758,920312,"","21","fajar"
986478,987013,"","23","fajar"
987410,987748,"","23","fajar"
988172,988683,"","23","fajar"
1050194,1050762,"","26","fajar"
1067269,1067821,"","26","fajar"

