,frame,x,y,r,name,sample_rate
0,1,604,156,130,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
1,2,1072,540,218,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
2,3,762,190,105,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
3,4,420,174,165,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
4,5,950,648,237,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
5,6,1002,540,246,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
6,7,776,380,244,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
7,8,868,124,123,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
8,9,832,110,102,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
9,10,676,764,224,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
10,11,440,162,202,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
11,12,418,166,216,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
12,13,862,182,205,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
13,14,944,436,243,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
14,15,890,470,199,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
15,16,876,492,189,framenr_16_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
16,17,902,472,227,framenr_17_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
17,18,876,490,200,framenr_18_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
18,19,880,498,198,framenr_19_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
19,20,936,482,248,framenr_20_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
20,21,842,262,232,framenr_21_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
21,22,942,494,242,framenr_22_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
22,23,908,512,202,framenr_23_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
23,24,934,502,227,framenr_24_framevid__Opp_June_16_Session_1_zoom_syncedboom_27_14_roger,25.0
