"Begin Time - msec","End Time - msec","boom_sequence","Intervals"
369955,372630,"2 ",
369958,370314,,"1_boom"
370355,370873,,"1_bark"
371041,371542,,"2_boom"
371546,371922,,"2_bark"
371985,372302,,"3_boom"
372304,372629,,"3_bark"
373097,375346,"3",
373100,373560,,"1_boom"
373599,374027,,"1_bark"
374030,374370,,"2_boom"
374380,374720,,"2_bark"
374722,375025,,"3_boom"
375066,375344,,"3_bark"
482565,503340,"4",
482567,483093,,"1_boom"
483095,483366,,"1_bark"
484286,484843,,"2_boom"
484859,485167,,"2_bark"
489020,489594,,"3_boom"
489601,489988,,"3_bark"
494066,494562,,"4_boom"
494572,494873,,"4_bark"
496420,496790,,"5_boom"
496810,496990,,"5_bark"
497020,497240,,"6_boom"
497270,497500,,"6_bark"
497510,497750,,"7_boom"
497760,497970,,"7_bark"
498000,498170,,"8_boom"
498200,498510,,"8_bark"
499244,499704,,"9_boom"
499775,500090,,"9_bark"
500100,500590,,"10_boom"
500600,500860,,"10_bark"
500900,501430,,"11_boom"
501460,501710,,"11_bark"
501820,502180,,"12_boom"
502190,502450,,"12_bark"
502570,502939,,"13_boom"
502939,503229,,"13_bark"

